First Name,Last Name,Age,Nationality,Height,Weight,Team Name,League,Appearances,Lineups,Minutes,Number,Position,Rating,Captain,In,Out,Bench,Total Shots,On Target Shots,Total Goals,Conceded Goals,Assists,Saves,Total Passes,Key Passes,Pass Accuracy,Total Tackles,Blocks,Interceptions,Total Duels,Duels Won,Dribble Attempts,Dribble Success,Past Dribbles,Fouls Drawn,Fouls Committed,Yellow Cards,Red Cards,Penalties Won,Penalties Committed,Penalties Scored,Penalties Missed,Penalties Saved
Miguel Ángel,Almirón Rejala,29.0,Paraguay,174 cm,70 kg,Nottingham Forest,Premier League,34,0,2508,,Goalkeeper,6.982352,0.0,0,23,5,44.0,21.0,11,0.0,2.0,,932.0,,23.0,47.0,2.0,10.0,232.0,118.0,66.0,32.0,,33.0,22.0,2,0,,,0.0,0.0,
Jordan Clifford,Smith,29.0,England,,,Leicester,Premier League,0,32,0,,Midfielder,,0.0,2,0,0,,,0,0.0,,,,23.0,,,,,,118.0,,,,,,0,0,,,0.0,0.0,0.0
Harvey Lewis,Barnes,26.0,England,174 cm,66 kg,Newcastle,Premier League,34,28,2720,,Midfielder,6.721212,0.0,5,11,2,54.0,34.0,13,0.0,4.0,,727.0,23.0,15.0,26.0,1.0,8.0,332.0,111.0,79.0,26.0,,37.0,39.0,3,0,,,0.0,0.0,
Sean David,Longstaff,26.0,England,180 cm,65 kg,Newcastle,Premier League,33,28,2517,,Midfielder,6.721212,0.0,5,4,5,18.0,7.0,1,0.0,4.0,,1125.0,20.0,28.0,42.0,8.0,16.0,243.0,111.0,25.0,7.0,,39.0,29.0,2,0,,,0.0,0.0,
Jacob Kai,Murphy,28.0,England,179 cm,74 kg,Newcastle,Premier League,36,14,2517,,Midfielder,6.688235,0.0,22,13,22,21.0,7.0,1,0.0,2.0,,1125.0,9.0,8.0,42.0,8.0,16.0,243.0,44.0,25.0,7.0,,14.0,8.0,2,0,,,0.0,0.0,
Elliot,Anderson,21.0,Scotland,179 cm,,Leicester,Premier League,22,3,1243,,Midfielder,6.620000,0.0,19,3,1,7.0,10.0,4,0.0,1.0,,383.0,,7.0,15.0,,7.0,119.0,42.0,33.0,12.0,,10.0,,0,0,,,0.0,0.0,
Lewis,Brunt,23.0,England,,,West Ham,Premier League,1,0,393,,Midfielder,6.300000,0.0,1,0,0,,4.0,0,0.0,,,185.0,,12.0,11.0,2.0,6.0,82.0,1.0,23.0,10.0,,1.0,,0,0,,,0.0,0.0,
Keenan,Appiah-Forson,22.0,England,,,West Ham,Premier League,0,0,22,,Midfielder,,0.0,0,0,0,,,0,,,,16.0,,,,,,1.0,,,,,,,0,0,,,,0.0,
Kamarai,Simon-Swyer,21.0,England,,,West Ham,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Louie,Moulden,21.0,England,190 cm,,Wolves,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Lewis Paul Jimmy,Richards,22.0,Republic of Ireland,182 cm,72 kg,Wolves U21,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
James Barry,Norris,20.0,England,,,Liverpool,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Harvey,Davies,20.0,England,,,Liverpool,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Arthur Chukwuezugo,Okonkwo,22.0,England,198 cm,84 kg,Arsenal,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,,,
Harvey,Lawson Griffiths,20.0,England,,,Wolves,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,0.0,,
Reece,Belfield Welch,20.0,England,,,Everton,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Lewis,James Payne,19.0,England,,,Southampton,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Mauro,Gomes Bandeira,19.0,Portugal,178 cm,,Arsenal,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Owen Olamidayo,Goodman,20.0,England,,,Crystal Palace,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0
Kieran John,Trippier,33.0,England,178 cm,71 kg,Newcastle,Premier League,38,2,3348,,Defender,7.636842,0.0,0,7,0,6.0,4.0,1,0,7.0,,2064.0,111.0,41.0,72.0,15.0,43.0,40.0,169.0,31.0,2.0,,29.0,48.0,5,0,,,0.0,0.0,
Gnaly Albert Maxwel,Cornet,27.0,Côte d'Ivoire,179 cm,69 kg,West Ham,Premier League,36,32,234,,Attacker,6.515384,0.0,12,2,12,7.0,2.0,0,0,,,88.0,1.0,5.0,7.0,,53.0,,17.0,5.0,2.0,,2.0,2.0,0,0,,,0.0,0.0,
Tomáš,Souček,28.0,Czechia,192 cm,86 kg,West Ham,Premier League,36,0,2819,,Midfielder,6.894444,0.0,4,8,4,27.0,13.0,2,0,3.0,,974.0,15.0,19.0,77.0,17.0,,294.0,209.0,14.0,,,,20.0,3,0,,,0.0,0.0,0.0
Loris Sven,Karius,30.0,Germany,189 cm,87 kg,Newcastle,Premier League,1,36,0,,Goalkeeper,,0.0,0,0,0,,15.0,0,0,3.0,,,,,,,52.0,,,,4.0,,27.0,,7,0,,,0.0,0.0,
Fabian Lukas,Schär,32.0,Switzerland,186 cm,84 kg,Newcastle,Premier League,33,0,3209,,Defender,7.116666,0.0,0,4,1,45.0,,5,0,,,,19.0,39.0,48.0,19.0,,328.0,191.0,,,,,28.0,0,0,,,0.0,0.0,
Emil Henry Kristoffer,Krafth,29.0,Sweden,184 cm,83 kg,Newcastle,Premier League,1,21,0,,Midfielder,,0.0,1,0,12,,,0,0,3.0,,304.0,,5.0,,,5.0,,,,26.0,,44.0,,2,0,,,0.0,0.0,
Michail Gregory,Antonio,33.0,Jamaica,180 cm,82 kg,West Ham,Premier League,2,0,0,,Goalkeeper,,0.0,12,19,1,28.0,,0,0,,,,,,14.0,5.0,,,134.0,,,,,,0,0,,,0.0,0.0,
Conor James,Coventry,23.0,Republic of Ireland,177 cm,65 kg,Newcastle,Premier League,0,1,156,,Goalkeeper,,0.0,1,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0
Martin,Dúbravka,34.0,Slovakia,190 cm,83 kg,Manchester United,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0
Paul,Dummett,32.0,Wales,183 cm,82 kg,Newcastle,Premier League,7,0,0,,Defender,,0.0,0,0,0,,,0,0,,,,,,,,,17.0,,,,,2.0,,0,0,,,0.0,0.0,0.0
Jamaal,Lascelles,30.0,England,188 cm,89 kg,Newcastle,Premier League,37,0,0,,Defender,6.416666,0.0,5,0,0,,,0,0,,,93.0,,15.0,,,,11.0,,,,,2.0,6.0,3,0,,,0.0,0.0,
Nicholas David,Pope,31.0,England,191 cm,76 kg,Newcastle,Premier League,17,2,214,,Goalkeeper,6.916216,0.0,0,0,5,,,0,0,,87.0,658.0,,10.0,,,,67.0,8.0,2.0,,,3.0,1.0,1,0,,,0.0,0.0,
Matthew Robert,Targett,28.0,England,183 cm,70 kg,Newcastle,Premier League,17,37,3262,,Defender,6.600000,0.0,10,0,0,1.0,,0,32,,,328.0,10.0,15.0,1.0,2.0,9.0,86.0,29.0,15.0,2.0,,5.0,8.0,1,0,,,0.0,0.0,0.0
Daniel William John,Ings,31.0,England,178 cm,73 kg,West Ham,Premier League,18,6,602,,Attacker,6.872222,0.0,10,0,10,,14.0,2,0,,,158.0,9.0,6.0,1.0,3.0,1.0,86.0,40.0,15.0,9.0,,5.0,8.0,3,0,,,0.0,0.0,
Mohamed Saïd,Benrahma,28.0,Algeria,172 cm,67 kg,Aston Villa,Premier League,35,7,771,,Attacker,6.845714,0.0,13,3,10,,14.0,6,0,3.0,,158.0,9.0,6.0,10.0,1.0,1.0,234.0,40.0,107.0,9.0,,15.0,16.0,0,0,,,2.0,0.0,
Jarrod,Bowen,27.0,England,175 cm,70 kg,West Ham,Premier League,38,8,819,,Attacker,6.871052,0.0,2,14,13,21.0,27.0,6,0,5.0,,700.0,48.0,16.0,10.0,1.0,9.0,416.0,96.0,90.0,51.0,,69.0,26.0,2,0,,,2.0,1.0,
Sven Adriaan,Botman,23.0,Netherlands,193 cm,81 kg,Newcastle,Premier League,36,36,2070,,Attacker,6.991428,0.0,1,2,1,21.0,24.0,6,0,,,715.0,48.0,42.0,25.0,9.0,36.0,189.0,126.0,1.0,35.0,,12.0,15.0,2,0,,,4.0,0.0,
Mark Joseph,Gillespie,31.0,England,192 cm,83 kg,Newcastle,Premier League,0,35,3237,,Goalkeeper,,0.0,0,0,0,52.0,,0,0,,,1754.0,9.0,,39.0,,34.0,,,,1.0,,,,0,0,,,0.0,0.0,
Daniel Peter James,Chesters,21.0,England,177 cm,68 kg,West Ham,Premier League,0,0,3128,,Midfielder,,0.0,0,0,0,,,0,0,,,,,,38.0,,,,,,,,,,0,0,,,,,
Divin Saku,Mubama,19.0,England,182 cm,,West Ham,Premier League,3,0,0,,Attacker,6.700000,0.0,3,0,3,,,0,0,,,8.0,,1.0,,,,12.0,5.0,2.0,1.0,,1.0,3.0,0,0,,,0.0,0.0,
Alphonse Francis,Areola,30.0,France,195 cm,94 kg,West Ham,Premier League,5,2,306,,Goalkeeper,6.500000,0.0,3,0,3,,,0,7,,9.0,77.0,,10.0,,,,1.0,,,,,,1.0,0,0,,,0,0,3.0
Jan Thilo,Kehrer,27.0,Germany,186 cm,76 kg,West Ham,Premier League,27,25,2230,,Defender,6.722222,0.0,2,2,2,5.0,1.0,0,0,2.0,,994.0,8.0,31.0,44.0,6.0,34.0,194.0,100.0,9.0,8.0,,12.0,31.0,4,0,,,0,0,
Vladimír,Coufal,31.0,Czechia,179 cm,76 kg,West Ham,Premier League,28,24,2139,,Defender,6.838461,0.0,3,6,3,4.0,1.0,0,0,1.0,,810.0,27.0,12.0,58.0,6.0,38.0,215.0,122.0,37.0,3.0,,21.0,30.0,5,0,,,0,0,
Daniel Nii,Tackie Mensah Welbeck,33.0,England,185 cm,73 kg,Brighton,Premier League,32,27,1858,,Midfielder,6.854838,0.0,10,14,10,49.0,23.0,6,0,3.0,,439.0,30.0,32.0,15.0,4.0,5.0,182.0,83.0,54.0,18.0,,18.0,25.0,0,0,,,0,0,
Lucas,Tolentino Coelho de Lima,26.0,Brazil,180 cm,72 kg,West Ham,Premier League,22,17,2170,,Midfielder,6.896428,0.0,1,20,15,38.0,16.0,4,0,1.0,,1125.0,32.0,17.0,71.0,2.0,16.0,353.0,169.0,20.0,32.0,,30.0,14.0,5,0,,,0,0,
Pablo,Fornals Malla,27.0,Spain,178 cm,67 kg,West Ham,Premier League,0,16,1502,,Defender,6.800000,0.0,6,14,6,22.0,7.0,3,0,,,701.0,20.0,22.0,30.0,4.0,14.0,143.0,58.0,20.0,10.0,,7.0,13.0,0,0,,,0,0,
Emerson,Palmieri dos Santos,29.0,Italy,176 cm,63 kg,West Ham,Premier League,25,0,1321,,Defender,6.665000,0.0,1,7,0,7.0,5.0,1,0,,,582.0,14.0,22.0,26.0,4.0,15.0,123.0,65.0,20.0,6.0,,7.0,13.0,2,0,,,0,0,
Kurt Happy,Zouma,29.0,France,190 cm,96 kg,Chelsea,Premier League,38,24,0,,Defender,6.665000,0.0,0,0,1,7.0,5.0,0,0,,,582.0,14.0,43.0,26.0,14.0,15.0,107.0,65.0,5.0,2.0,,19.0,14.0,0,0,,,0,2,
James Michael Edward,Ward-Prowse,29.0,England,173 cm,66 kg,West Ham,Premier League,36,38,1991,,Midfielder,6.872000,0.0,0,3,0,16.0,6.0,2,0,4.0,,826.0,1.0,12.0,9.0,10.0,30.0,293.0,73.0,19.0,7.0,,4.0,34.0,0,0,,,2,0,3.0
Łukasz Marek,Fabiański,38.0,Poland,190 cm,83 kg,Southampton,Premier League,28,36,3114,,Defender,7.263157,0.0,4,2,0,33.0,20.0,9,48,,,773.0,,33.0,65.0,,55.0,23.0,135.0,,,,9.0,,6,0,,,0,0,
Aaron William,Cresswell,34.0,England,170 cm,66 kg,West Ham,Premier League,16,24,2235,,Defender,6.725000,0.0,3,3,4,,,0,0,1.0,108.0,1120.0,40.0,20.0,2.0,11.0,,125.0,21.0,6.0,2.0,,4.0,9.0,1,0,,,0,0,
Angelo,Obinze Ogbonna,35.0,Italy,191 cm,86 kg,West Ham,Premier League,17,13,1236,,Defender,6.593333,0.0,8,4,3,3.0,1.0,0,0,,,415.0,3.0,22.0,21.0,7.0,27.0,80.0,50.0,,8.0,,5.0,2.0,3,0,,,0,0,
Benjamin Anthony,Johnson,23.0,England,175 cm,67 kg,West Ham,Premier League,20,9,859,,Attacker,6.960000,0.0,13,2,13,2.0,,0,0,2.0,,456.0,3.0,8.0,11.0,4.0,17.0,80.0,49.0,14.0,31.0,,15.0,3.0,0,0,,,0,0,
Julio César,Enciso Espínola,19.0,Paraguay,168 cm,64 kg,West Ham,Premier League,33,7,800,,Midfielder,6.896875,0.0,9,1,9,30.0,1.0,0,0,5.0,,242.0,13.0,23.0,20.0,,9.0,136.0,65.0,56.0,57.0,,27.0,13.0,0,0,,,0,0,
Kaoru,Mitoma,26.0,Japan,178 cm,72 kg,Brighton,Premier League,19,10,950,,Attacker,6.863157,0.0,9,7,9,42.0,18.0,7,0,2.0,,223.0,41.0,9.0,13.0,,4.0,297.0,146.0,112.0,7.0,,11.0,29.0,1,0,,,0,0,
Evan Joe,Ferguson,19.0,Republic of Ireland,183 cm,78 kg,Brighton,Premier League,19,10,950,,Attacker,6.863157,0.0,9,8,9,28.0,21.0,6,0,2.0,,223.0,11.0,9.0,44.0,1.0,17.0,86.0,33.0,12.0,7.0,,11.0,9.0,1,0,,,0,0,
Joseph,Tetteh Anang,23.0,England,190 cm,72 kg,Brighton,Premier League,0,0,0,,Goalkeeper,,0.0,0,9,0,28.0,17.0,0,0,,,,11.0,,6.0,1.0,2.0,,,12.0,,,,9.0,0,0,,,0,0,0.0
Kaelan,Casey,19.0,England,,,West Ham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0,,,,,,,,2.0,,,,,,,,0,0,,,0,0,
Jack Luca,Hinshelwood,18.0,England,,,West Ham,Premier League,1,0,1,,Midfielder,6.700000,0.0,1,0,1,,,0,0,,,3.0,,1.0,,,,1.0,1.0,,,,,,0,0,,,0,0,
Facundo Valentín,Buonanotte,19.0,Argentina,174 cm,66 kg,Brighton,Premier League,13,6,563,,Midfielder,6.530769,0.0,7,5,7,,3.0,1,0,1.0,,186.0,6.0,12.0,2.0,,,63.0,18.0,,7.0,,7.0,,2,0,,,0,0,
Adam David,Lallana,35.0,England,172 cm,73 kg,Brighton,Premier League,16,12,729,,Midfielder,6.643333,0.0,4,12,4,8.0,5.0,2,0.0,1.0,,310.0,14.0,16.0,9.0,,2.0,58.0,27.0,6.0,3.0,,15.0,2.0,0,0,,,0,0.0,
James Philip,Milner,37.0,England,175 cm,70 kg,Liverpool,Premier League,31,7,893,,Midfielder,6.830000,0.0,24,4,24,6.0,1.0,0,0.0,1.0,,607.0,13.0,15.0,26.0,2.0,12.0,136.0,65.0,19.0,11.0,,38.0,16.0,2,0,,,0,0.0,
Joël Ivo,Veltman,31.0,Netherlands,184 cm,75 kg,Brighton,Premier League,31,25,2194,,Defender,6.470000,0.0,6,11,6,12.0,2.0,1,0.0,1.0,,1297.0,10.0,35.0,62.0,8.0,19.0,212.0,131.0,13.0,5.0,,3.0,27.0,6,0,,,0,0.0,
Jhon Jader,Durán Palacio,20.0,Colombia,185 cm,73 kg,Aston Villa,Premier League,15,0,124,,Attacker,6.780000,0.0,12,0,12,5.0,,0,0.0,,37.0,26.0,1.0,1.0,2.0,,2.0,38.0,13.0,2.0,1.0,,1.0,9.0,1,0,,,0,0.0,
Jason Sean,Steele,33.0,England,188 cm,79 kg,Brighton,Premier League,36,15,1350,,Goalkeeper,6.922222,0.0,0,0,0,,3.0,0,23.0,,,490.0,1.0,28.0,,27.0,,4.0,3.0,1.0,1.0,,27.0,1.0,1,0,,,0,0.0,0.0
Lewis Carl,Dunk,32.0,England,192 cm,88 kg,Brighton,Premier League,37,36,3240,,Defender,7.272972,0.0,0,1,0,17.0,19.0,1,0.0,8.0,,3208.0,9.0,80.0,30.0,10.0,34.0,218.0,129.0,4.0,4.0,,18.0,18.0,4,0,,,0,0.0,
Pascal,Groß,32.0,Germany,181 cm,78 kg,Brighton,Premier League,33,37,3246,,Midfielder,7.300000,0.0,0,7,2,26.0,33.0,7,0.0,7.0,,2027.0,82.0,47.0,59.0,3.0,13.0,231.0,178.0,29.0,16.0,,39.0,35.0,7,0,,,0,0.0,
Solomon Benjamin,March,29.0,England,180 cm,88 kg,Brighton,Premier League,27,31,2726,,Midfielder,6.832000,0.0,2,13,4,16.0,2.0,0,0.0,,,1101.0,67.0,26.0,53.0,19.0,24.0,145.0,91.0,92.0,57.0,,6.0,46.0,2,0,,,0,0.0,
Adam Harry,Webster,28.0,England,191 cm,75 kg,Brighton,Premier League,37,23,1987,,Defender,6.837837,0.0,4,6,1,70.0,47.0,15,0.0,6.0,,549.0,6.0,55.0,22.0,4.0,19.0,362.0,144.0,7.0,3.0,,39.0,10.0,2,0,,,0,0.0,
Oliver George Arthur,Watkins,28.0,England,180 cm,70 kg,Aston Villa,Premier League,8,36,3136,,Defender,6.614285,0.0,1,10,5,2.0,,0,0.0,,,246.0,31.0,10.0,19.0,5.0,10.0,39.0,18.0,53.0,17.0,,4.0,26.0,4,0,,,1,1.0,
Jan Paul,van Hecke,23.0,Netherlands,189 cm,79 kg,Brighton,Premier League,0,3,291,,Midfielder,,0.0,5,1,0,,,0,,,,,,28.0,8.0,,6.0,,,,,,,,0,0,,,0,0.0,
Jakub Piotr,Moder,24.0,Poland,188 cm,78 kg,Brighton,Premier League,35,0,0,,Defender,6.880000,0.0,0,0,4,17.0,5.0,1,0.0,5.0,,1621.0,51.0,,,8.0,,283.0,142.0,,,,26.0,42.0,4,0,,,0,,
Pervis Josué,Estupiñán Tenorio,25.0,Ecuador,175 cm,73 kg,Brighton,Premier League,14,7,2682,,Midfielder,6.663636,0.0,4,11,7,3.0,1.0,0,0.0,1.0,,403.0,2.0,38.0,5.0,2.0,6.0,40.0,15.0,37.0,19.0,,3.0,8.0,1,0,,,0,0.0,
Billy Clifford,Gilmour,22.0,Scotland,166 cm,60 kg,Chelsea,Premier League,0,0,506,,Midfielder,6.663636,0.0,7,5,0,3.0,1.0,0,0.0,1.0,,403.0,2.0,28.0,5.0,2.0,6.0,40.0,15.0,4.0,2.0,,3.0,8.0,0,0,,,0,0.0,
Tariq Kwame,Nii-Lante Lamptey,23.0,Ghana,163 cm,55 kg,Brighton,Premier League,20,3,438,,Defender,6.517647,0.0,0,0,17,4.0,,0,0.0,,,232.0,4.0,28.0,11.0,3.0,7.0,65.0,35.0,4.0,8.0,,14.0,6.0,1,0,,,0,0.0,
Thomas Peter,Wayne McGill,23.0,Canada,185 cm,80 kg,Brighton,Premier League,0,0,0,,Goalkeeper,,0.0,17,2,0,,,0,0.0,,,,,11.0,,,,,,21.0,,,,,0,0,,,0,0.0,0.0
Timothy Emeka,Iroegbunam,20.0,England,183 cm,,Aston Villa,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0,0.0,
Tommi Dylan,O'Reilly,20.0,England,170 cm,,Aston Villa,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0,0.0,
Travis,Patterson,18.0,England,,,Aston Villa,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0,0.0,
Kadan,Young,17.0,England,176 cm,,Aston Villa,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0,0.0,
Clément Nicolas Laurent,Lenglet,28.0,France,186 cm,81 kg,Tottenham,Premier League,26,24,227,,Midfielder,6.661538,0.0,0,10,0,6.0,2.0,0,0.0,2.0,,68.0,7.0,48.0,38.0,,18.0,186.0,105.0,4.0,1.0,,17.0,23.0,1,0,,,0.0,0.0,
Bertrand Isidore,Traoré,28.0,Burkina Faso,181 cm,73 kg,Aston Villa,Premier League,8,0,0,,Midfielder,6.725000,0.0,7,0,10,4.0,3.0,4,0.0,,,68.0,1.0,7.0,1.0,,2.0,31.0,12.0,4.0,1.0,,8.0,2.0,0,0,,,0.0,0.0,
Leon Patrick,Bailey Butler,26.0,Jamaica,178 cm,77 kg,Aston Villa,Premier League,33,26,1779,,Midfielder,6.725000,0.0,3,7,2,4.0,3.0,1,0.0,,,441.0,1.0,7.0,14.0,,2.0,31.0,12.0,28.0,37.0,,22.0,29.0,4,0,,,0.0,0.0,
Boubacar Bernard,Kamara,24.0,France,184 cm,68 kg,Aston Villa,Premier League,20,18,1500,,Defender,6.642424,0.0,10,8,4,4.0,14.0,0,0.0,4.0,,938.0,31.0,9.0,58.0,12.0,6.0,231.0,127.0,4.0,16.0,,31.0,19.0,4,0,,,0.0,0.0,
Lucas,Digne,30.0,France,178 cm,74 kg,Aston Villa,Premier League,4,7,212,,Midfielder,6.804166,0.0,13,5,12,1.0,1.0,3,0.0,,,281.0,7.0,13.0,19.0,5.0,19.0,152.0,32.0,4.0,3.0,,25.0,1.0,0,0,,,0.0,0.0,
Leander,Dendoncker,28.0,Belgium,188 cm,83 kg,Aston Villa,Premier League,31,2,2351,,Midfielder,6.670370,0.0,2,11,0,1.0,3.0,0,0.0,,,992.0,5.0,13.0,9.0,4.0,18.0,56.0,146.0,,2.0,,2.0,33.0,0,0,,,0.0,0.0,
Youri Marion A.,Tielemans,26.0,Belgium,176 cm,72 kg,Wolves,Premier League,38,27,2420,,Midfielder,6.589473,0.0,4,0,0,1.0,,0,0.0,2.0,,,30.0,41.0,,8.0,10.0,56.0,,53.0,23.0,,44.0,7.0,4,0,,,1.0,1.0,
Calum,Chambers,28.0,England,182 cm,66 kg,Leicester,Premier League,0,0,0,,Midfielder,6.589473,0.0,12,0,4,30.0,,0,,2.0,,1887.0,42.0,13.0,,4.0,28.0,30.0,,,,,,,0,0,,,0.0,0.0,
Emiliano,Buendía Stati,27.0,Argentina,172 cm,72 kg,Aston Villa,Premier League,0,0,0,,Defender,6.541666,0.0,11,8,6,,10.0,1,,,,970.0,,20.0,66.0,,20.0,374.0,104.0,,,,22.0,18.0,7,0,,,0.0,,
Kortney Paul Duncan,Hause,28.0,England,191 cm,77 kg,Aston Villa,Premier League,35,31,3150,,Midfielder,6.754054,0.0,0,15,1,,,1,0.0,3.0,,781.0,5.0,,69.0,21.0,,,161.0,61.0,,,45.0,41.0,5,0,,,,0.0,
Tyrone Deon,Mings,30.0,England,196 cm,77 kg,Aston Villa,Premier League,26,2,2697,,Midfielder,,0.0,4,1,1,4.0,,6,0.0,7.0,,1871.0,19.0,,42.0,4.0,,,98.0,27.0,6.0,,15.0,35.0,4,0,,,,0.0,
John,McGinn,29.0,Scotland,178 cm,68 kg,Aston Villa,Premier League,38,2,1819,,Defender,6.914285,0.0,6,1,1,29.0,13.0,0,0.0,,,139.0,42.0,46.0,1.0,8.0,24.0,166.0,7.0,,16.0,,64.0,21.0,0,0,,,0.0,0.0,
Jacob Matthew,Ramsey,22.0,England,180 cm,,Aston Villa,Premier League,3,2,3322,,Defender,7.005882,0.0,1,1,1,24.0,1.0,0,0.0,,,139.0,8.0,23.0,1.0,5.0,26.0,345.0,7.0,,5.0,,,12.0,0,0,,,0.0,0.0,
Matthew Stuart,Cash,26.0,Poland,185 cm,79 kg,Aston Villa,Premier League,3,2,205,,Defender,6.897297,0.0,1,1,1,4.0,,0,0.0,,,139.0,8.0,44.0,1.0,23.0,1.0,158.0,7.0,,,,,2.0,0,0,,,0.0,0.0,
Ezri,Konsa Ngoyo,26.0,England,183 cm,77 kg,Aston Villa,Premier League,3,2,205,,Defender,6.566666,0.0,1,1,1,3.0,,0,0.0,,,139.0,1.0,37.0,1.0,2.0,1.0,231.0,7.0,,,,,2.0,0,0,,,0.0,0.0,
Diego Carlos,Santos Silva,30.0,Brazil,186 cm,79 kg,Aston Villa,Premier League,3,2,205,,Defender,6.566666,0.0,1,1,1,3.0,,0,0.0,,,139.0,1.0,37.0,1.0,2.0,1.0,13.0,7.0,,,,,2.0,0,0,,,0.0,0.0,
Douglas Luiz,Soares de Paulo,25.0,Brazil,175 cm,66 kg,Aston Villa,Premier League,3,33,205,,Defender,6.566666,0.0,1,9,4,3.0,,0,0.0,,,1694.0,1.0,37.0,1.0,7.0,1.0,13.0,7.0,,,,,2.0,6,0,,,0.0,0.0,
Alexandre,Moreno Lopera,30.0,Spain,179 cm,68 kg,Aston Villa,Premier League,37,14,2933,,Midfielder,6.566666,0.0,5,10,5,22.0,,6,0.0,6.0,,578.0,1.0,37.0,73.0,3.0,1.0,310.0,162.0,39.0,,,,2.0,3,0,,,0.0,0.0,
Filip,Marschall,20.0,England,195 cm,87 kg,Aston Villa,Premier League,19,0,1334,,Goalkeeper,7.100000,0.0,0,0,0,10.0,3.0,0,0.0,,,,22.0,37.0,,,,160.0,,50.0,23.0,,,2.0,0,0,,,0.0,0.0,0.0
Joshua,Feeney,18.0,England,193 cm,,Aston Villa,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,23.0,,,,0,0,,,,0.0,
Cody Mathès,Gakpo,24.0,Netherlands,193 cm,76 kg,Liverpool,Premier League,21,17,1465,,Attacker,7.066666,0.0,4,11,4,27.0,13.0,7,0.0,2.0,,371.0,23.0,13.0,26.0,1.0,4.0,230.0,108.0,36.0,23.0,,33.0,26.0,0,0,,,0.0,0.0,
Trent John,Alexander-Arnold,25.0,England,175 cm,72 kg,Liverpool,Premier League,37,34,2931,,Defender,7.305405,0.0,3,11,3,25.0,8.0,2,0.0,9.0,,2309.0,72.0,50.0,57.0,7.0,43.0,216.0,113.0,43.0,30.0,,6.0,22.0,5,0,,,0.0,0.0,
Job Joël André,Matip,32.0,Cameroon,195 cm,90 kg,Liverpool,Premier League,14,12,1092,,Defender,6.714285,0.0,2,2,2,5.0,3.0,1,0.0,,,879.0,4.0,54.0,15.0,3.0,21.0,96.0,49.0,7.0,4.0,,5.0,10.0,3,0,,,0.0,0.0,
Andrew Henry,Robertson,29.0,Scotland,178 cm,64 kg,Liverpool,Premier League,34,29,2587,,Defender,6.958823,0.0,5,10,5,8.0,4.0,0,0.0,8.0,,1834.0,52.0,45.0,38.0,5.0,18.0,179.0,85.0,38.0,15.0,,10.0,22.0,3,0,,,0.0,0.0,
Curtis Julian,Jones,22.0,England,185 cm,75 kg,Liverpool,Premier League,18,12,1039,,Midfielder,6.833333,0.0,6,10,6,6.0,5.0,3,0.0,1.0,,658.0,14.0,33.0,34.0,2.0,3.0,138.0,64.0,24.0,11.0,,16.0,13.0,2,0,,,0.0,0.0,
